,VJ.combi,count.seq,mouseID,analysis_type,filename,path
292,IGHV8-12*01_IGHJ1*03_57_1,3,m14,neg_YFP,IGHV8-12-01_IGHJ1-03_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV8-12-01_IGHJ1-03_57_1.aln.fasta
288,IGHV1-53*01_IGHJ3*01_39_3,3,m14,neg_YFP,IGHV1-53-01_IGHJ3-01_39_3,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-53-01_IGHJ3-01_39_3.aln.fasta
286,IGHV1-53*01_IGHJ3*01_39_1,3,m14,neg_YFP,IGHV1-53-01_IGHJ3-01_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-53-01_IGHJ3-01_39_1.aln.fasta
285,IGHV1-77*01_IGHJ1*03_39_1,3,m14,neg_YFP,IGHV1-77-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-77-01_IGHJ1-03_39_1.aln.fasta
284,IGHV1-82*01_IGHJ4*01_57_1,3,m14,neg_YFP,IGHV1-82-01_IGHJ4-01_57_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV1-82-01_IGHJ4-01_57_1.aln.fasta
281,IGHV14-2*01_IGHJ2*01_36_1,3,m14,neg_YFP,IGHV14-2-01_IGHJ2-01_36_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV14-2-01_IGHJ2-01_36_1.aln.fasta
277,IGHV10-1*01_IGHJ3*01_42_1,3,m14,neg_YFP,IGHV10-1-01_IGHJ3-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV10-1-01_IGHJ3-01_42_1.aln.fasta
272,IGHV3-6*01_IGHJ2*01_54_2,3,m14,neg_YFP,IGHV3-6-01_IGHJ2-01_54_2,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV3-6-01_IGHJ2-01_54_2.aln.fasta
264,IGHV8-5*01_IGHJ2*01_42_1,3,m14,neg_YFP,IGHV8-5-01_IGHJ2-01_42_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV8-5-01_IGHJ2-01_42_1.aln.fasta
263,IGHV14-2*01_IGHJ1*03_39_1,3,m14,neg_YFP,IGHV14-2-01_IGHJ1-03_39_1,/home/hieunguyen/CRC1382/outdir/molmed_server/mixcr_pipeline_output/data_analysis/05_output/CDR3_0.15/m14/neg_YFP_MIDs/m14_neg_YFP_IGHV14-2-01_IGHJ1-03_39_1.aln.fasta
